kernel,max_gap,min_support_pos,min_support_neg,accuracy,precision,recall,f1,auc
poly,4.0,0.25,0.3,0.8,0.7505773672055427,0.9002770083102493,0.8186397984886649,0.7997206768570746
poly,9.0,0.3,0.15,0.7972222222222223,0.7426636568848759,0.9113573407202216,0.818407960199005,0.7969042971010578
poly,10.0,0.3,0.15,0.7972222222222223,0.7426636568848759,0.9113573407202216,0.818407960199005,0.7969042971010578
poly,5.0,0.2,0.1,0.7986111111111112,0.7477064220183486,0.9030470914127424,0.8180677540777918,0.7983202030879868
poly,5.0,0.15,0.25,0.8,0.752913752913753,0.8947368421052632,0.8177215189873418,0.7997361090749158
poly,5.0,0.15,0.3,0.8,0.752913752913753,0.8947368421052632,0.8177215189873418,0.7997361090749158
poly,5.0,0.15,0.2,0.8,0.752913752913753,0.8947368421052632,0.8177215189873418,0.7997361090749158
poly,5.0,0.25,0.25,0.7986111111111112,0.7488479262672811,0.9002770083102493,0.8176100628930818,0.7983279191969074
poly,6.0,0.2,0.2,0.7986111111111112,0.7488479262672811,0.9002770083102493,0.8176100628930818,0.7983279191969074
poly,8.0,0.15,0.15,0.7986111111111112,0.7488479262672811,0.9002770083102493,0.8176100628930818,0.7983279191969074
poly,7.0,0.15,0.15,0.7986111111111112,0.7488479262672811,0.9002770083102493,0.8176100628930818,0.7983279191969074
poly,6.0,0.15,0.15,0.7986111111111112,0.7488479262672811,0.9002770083102493,0.8176100628930818,0.7983279191969074
poly,7.0,0.2,0.2,0.7986111111111112,0.7488479262672811,0.9002770083102493,0.8176100628930818,0.7983279191969074
poly,5.0,0.25,0.3,0.7986111111111112,0.7488479262672811,0.9002770083102493,0.8176100628930818,0.7983279191969074
poly,8.0,0.2,0.2,0.7986111111111112,0.7488479262672811,0.9002770083102493,0.8176100628930818,0.7983279191969074
poly,8.0,0.3,0.2,0.7972222222222223,0.744874715261959,0.9058171745152355,0.8175,0.7969197293188992
poly,6.0,0.3,0.2,0.7972222222222223,0.744874715261959,0.9058171745152355,0.8175,0.7969197293188992
poly,7.0,0.3,0.2,0.7972222222222223,0.744874715261959,0.9058171745152355,0.8175,0.7969197293188992
poly,5.0,0.25,0.15,0.7986111111111112,0.75,0.8975069252077562,0.8171500630517025,0.798335635305828
poly,8.0,0.2,0.1,0.7972222222222223,0.7459954233409611,0.9030470914127424,0.8170426065162908,0.7969274454278197
poly,7.0,0.2,0.1,0.7972222222222223,0.7459954233409611,0.9030470914127424,0.8170426065162908,0.7969274454278197
poly,6.0,0.2,0.1,0.7972222222222223,0.7459954233409611,0.9030470914127424,0.8170426065162908,0.7969274454278197
poly,4.0,0.25,0.15,0.7986111111111112,0.7511627906976744,0.8947368421052632,0.8166877370417194,0.7983433514147487
poly,7.0,0.25,0.1,0.7958333333333333,0.7431818181818182,0.9058171745152355,0.8164794007490636,0.7955269716587319
poly,6.0,0.25,0.1,0.7958333333333333,0.7431818181818182,0.9058171745152355,0.8164794007490636,0.7955269716587319
poly,8.0,0.25,0.1,0.7958333333333333,0.7431818181818182,0.9058171745152355,0.8164794007490636,0.7955269716587319
poly,10.0,0.2,0.3,0.7958333333333333,0.7465437788018433,0.8975069252077562,0.8150943396226416,0.7955501199854936
poly,9.0,0.2,0.3,0.7958333333333333,0.7465437788018433,0.8975069252077562,0.8150943396226416,0.7955501199854936
poly,9.0,0.2,0.25,0.7958333333333333,0.7465437788018433,0.8975069252077562,0.8150943396226416,0.7955501199854936
poly,10.0,0.2,0.25,0.7958333333333333,0.7465437788018433,0.8975069252077562,0.8150943396226416,0.7955501199854936
poly,8.0,0.15,0.25,0.7958333333333333,0.7476851851851852,0.8947368421052632,0.8146279949558638,0.7955578360944142
poly,8.0,0.15,0.3,0.7958333333333333,0.7476851851851852,0.8947368421052632,0.8146279949558638,0.7955578360944142
poly,6.0,0.15,0.25,0.7958333333333333,0.7476851851851852,0.8947368421052632,0.8146279949558638,0.7955578360944142
poly,7.0,0.15,0.3,0.7958333333333333,0.7476851851851852,0.8947368421052632,0.8146279949558638,0.7955578360944142
poly,5.0,0.25,0.2,0.7958333333333333,0.7476851851851852,0.8947368421052632,0.8146279949558638,0.7955578360944142
poly,6.0,0.15,0.2,0.7958333333333333,0.7476851851851852,0.8947368421052632,0.8146279949558638,0.7955578360944142
poly,7.0,0.15,0.25,0.7958333333333333,0.7476851851851852,0.8947368421052632,0.8146279949558638,0.7955578360944142
poly,8.0,0.15,0.2,0.7958333333333333,0.7476851851851852,0.8947368421052632,0.8146279949558638,0.7955578360944142
poly,6.0,0.15,0.3,0.7958333333333333,0.7476851851851852,0.8947368421052632,0.8146279949558638,0.7955578360944142
poly,7.0,0.15,0.2,0.7958333333333333,0.7476851851851852,0.8947368421052632,0.8146279949558638,0.7955578360944142
poly,4.0,0.25,0.2,0.7958333333333333,0.7488372093023256,0.8919667590027701,0.8141592920353982,0.7955655522033349
poly,7.0,0.25,0.15,0.7944444444444444,0.7448275862068966,0.8975069252077562,0.814070351758794,0.7941573623253265
poly,6.0,0.25,0.15,0.7944444444444444,0.7448275862068966,0.8975069252077562,0.814070351758794,0.7941573623253265
poly,8.0,0.25,0.15,0.7944444444444444,0.7448275862068966,0.8975069252077562,0.814070351758794,0.7941573623253265
poly,9.0,0.15,0.15,0.7944444444444444,0.745958429561201,0.8947368421052632,0.8136020151133502,0.7941650784342472
poly,10.0,0.15,0.15,0.7944444444444444,0.745958429561201,0.8947368421052632,0.8136020151133502,0.7941650784342472
poly,7.0,0.25,0.25,0.7930555555555555,0.7420091324200914,0.9002770083102493,0.8135168961201502,0.7927568885562388
